,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
129976,129977,B004DND458,A3U7Q41SJ4PWI,E. Maddox,1,1,5,1308009600,"Easy to ""brew"" in Keurig","Green tea is a strange tea to most Americans, I like it, and I do drink it regularly but I always think it needs something, so for iced green tea I splash it with some cranberry juice to sweeten and give it a slight tang.  I actually make two 6 ounce cups out of one green tea K-cup because I have been told by friends who have drunk green tea since childhood that it is meant to be used more than one time.  I do see now that some loose leaf green tea actually tells you to brew more than once.  A 12 ounce pot of green tea made from one K-cup is a perfect cup, especially when sweetened with juice for an iced drink."
502148,502149,B001BM68RA,A3LCSWJFMF3JB5,"V. Lovelace ""SecondWind Homeopathy""",1,1,5,1242172800,Best Chai...ever...,"Seriously...the best...ever...I won't drink anything but Good Earth since finding this brand.  Armoatic, full bodied, subtle spices...excellent."
513904,513905,B000S4D6FE,AIQDUKFB4X38M,VonMalcolm,1,1,4,1311206400,A Different Kind Of Pumpernickel,"A crumbly, nutty pumpernickel.  The bread holds together enough for a sandwich, but it is probably best for cheeses and spreads.  It is good, but it is not my cup of tea:  3.5 stars to be exact."
491267,491268,B008114GDW,A3HXME9ZRYK5P,Allan W. Brinkmeyer,1,6,3,1278028800,NOT as good as the ones in the tins,"Local retailers stopped carrying the Blue Diamond Honey Roasted Almonds in the small tins for some time now.  Not planning ahead enough to buy another case, I picked up these in hope that ""oven roasted"" + ""honey"" = that same goodness.  NOT TRUE.  These almonds are cloyingly sweet.  They also taste a bit milky, but there are no milk products listed, which just makes the flavor even stranger.  They don't have that crusted on goodness of the tin ones.  However, my 6 year old really likes them and, while I don't have a container to compare, I'm thinking that the lack of crusty goodness *might* make these a somewhat healthier choice for her.  So I give the product 3 stars -  an average of 5 from her and 1 from me."
311606,311607,B000EVG8H4,A3I6IRC6PKRFZZ,not_her_again,1,1,5,1251849600,Best mix for white GF bread,"When my son was first diagnosed, I tried making GF bread from scratch. I spend copious amounts of time and money on a variety of flours. When I found this mix, it was like a gift from God. I've since tried several other mixes, but none turned out as consistent a product as this mix. I do make some tweaks, however. I add a packet of unflavored gelatin (increases the protein content and helps with texture) and a teaspoon of xanthan gum. Often I will use my own yeast, just to make sure it's fresh. With these tweaks, I can easily make very good bread--without a bread maker (I have one, but I get much better results without it). I do find that I have to double the cooking time, but that could be from our area's temp and humidity and our oven.<br /><br />I've occasionally tried some variations, such as raisin and cinnamon, poppyseed, etc., with varying results. Overall, however, this is so much better than the awful pre-made, mass-produced shelf-stable breads, better than other mixes, and as good as many of the local freshly-baked GF breads that sell for eight dollars a loaf in our area. My son still likes his frozen bread for some sandwiches, but otherwise we often make this.<br /><br />Amazon's subscription-price is competitive, so we'll move to that!<br /><br />Updated to add that I no longer add xanthan gum to the mix, and the results are just as good.  With better proofing, my cooking time is only a little longer than what is listed on the box. Try cooling the loaf in the oven, with the temp turned off and the door opened a little bit."
16791,16792,B001LGGH40,AHRNDSKWH1YBT,M. Hertzler,0,0,3,1236211200,WHOO WEE That is a Sweet Drink!!,"Don't get me wrong, it is good. It is sweet and tart. It is slightly fizzy but not overly so. It is just big enough to quench your thirst before it gets warm.<br /><br />But WOW, it was sweet. I mean, this is Kool-aid meets Grenadine syrup with some lemon-lime soda tossed in. So if you are looking for something like soda water with a slight flavor, just keep going. If you want a sweet drink to get rid of a craving, then this is for you!"
549933,549934,B0034UIH5S,A20EEWWSFMZ1PN,"bernie ""webviator""",1,1,4,1264377600,A must have to complete your large screen TV experience.,"For something that would not make it in a top food group this stuff is additive. Do not read the ingredients or you might get worried trying to figure out what that buttery looking stuff that is coating your paws is. Any way soon, you find yourself dragging your little white puffing things on the sides of the bag so you will not waste any of it.<br /><br />Be sure to have a backup box."
121384,121385,B0000WEVH6,A1O5QOGM57I83J,H. Hughes,1,2,5,1247184000,Awesome coffee,Cannot tell you how good this brand of expresso is. Keeps me jumping! Like the flavor because it is not extremely bitter-strong like Starbucks. Is smooth.
422595,422596,B003LPMC3O,A2B32TIYSZ753C,J. A. Williams,0,1,3,1337299200,so-so product!,"not very much carbonation which is what i was looking for.  ok taste but i wanted something where i could feel and taste the ""sparking"" in the juice."
385582,385583,B000RC4188,A22WJHA8MMN5T9,TeaDrinkah,1,2,3,1326240000,Great Tea/Bad Price,Love this tea but found it at my local Fairway in NYC for $6.99. Half this price. What gives?<br />;
386649,386650,B007SI3WAM,A3P4MYBOE786HF,Joe Gress,0,1,1,1325116800,Zero stars - this stuff is not good at ALL!!,No tea flavor at all.  Tastes like watered down lemonade.  I drink a lot of tea and this stuff is so bad that I am returning the opened box for a refund.
117971,117972,B000X1Q1G8,A3BR0J7FPVWSHK,Rachel Melinkoff,2,4,1,1251331200,This product highly offended me,"I am on the Medifast diet, so was looking for a few low carb/low calorie options to add to my daily diet.  When I heard about Walden Farms calorie free peanut butter I was highly skeptical but decided to give it a try.  I have to say, that this product was probably THE worst tasting diet food I have ever eaten.  I am a huge fan of peanut butter, and thought maybe this would slightly resemble it, but the taste was nowhere close.  This product SERIOUSLY offended me.  I would give it to a homeless person, but I'm not that cruel.  If you're looking for peanut butter substitutes I'd recommend PB2.  It contains only peanuts and salt, and actually tastes like peanuts.<br /><br />Walden Farms DOES have good products, though.  I will say that their caramel dip is very good, but I wonder why they are still able to make enough money from this ""peanut butter"" to keep producing it!"
541612,541613,B001M1950M,A1U4SEXMLNV8S4,Wendy S. Johnson,1,1,4,1325980800,Great tea  - need better packaging.,Tea arrived quickly - very nice selection and colorful boxes - was disappointed that the plastic container that the tea came in was cracked in several places - was packaged well for shipping so that wasn't the problem - I just think the plastic case they use is very flimsy and can't withstand any kind of shipment.  I just put the tea boxes in a basket to give as a gift.  Would still recommend because I was told the tea is very tasty.
438766,438767,B005HGAV8I,A3A319UR3IIA1W,"MooChelle ""MooChelle""",0,1,5,1328140800,Excellent Selection!,"This was a hit or miss try for me. We are new to Keurig and I was chomping at the bit to try some of the flavored coffees.. OH MY GOD!! This was an awesome collection, only 2 of which I'd actually tried before. I can't wait to order more sampler packs now!"
240200,240201,B001VJ0B0I,A1O229NVVDJUX2,"Anthony Pantliano ""The Photo Guy""",0,0,4,1339545600,My Terrier loves it.,"My 25-pound Wheaton Terrier mix was hooked on the Beneful the first time she had it.  Previously I was using the Nature's Variety Prairie Chicken food and while she would eat it eventually she wasn't as enthusiastic about it as she is the Beneful.  My bet is she likes the Beneful better since the food pieces are not hard and crunchy, but rather are ever so slightly mushy and moist.  The food pieces are a few different shapes and colors and are about the size of large blueberries.<br /><br />If I have one reservation about the Beneful it is this - my dog's stools are much smaller and harder since the switch.  Now most people would find this a bonus, and indeed I'm really glad the Beneful didn't give her diarrhea, but the healthiest type of stool is that which is slightly soft.<br /><br />The bag is sturdy and has a nice zipper seal to keep the food fresh.<br /><br />Lastly, if you're switching your dog's food make sure to transition them over the course of a week, so the new food doesn't shock their system and give them diarrhea.<br /><br />All in all...the dog loves it, but I'm not fond of the tiny stools."
470029,470030,B001IZIEGS,A2OPUGMZI7LDSO,ahlanna,0,0,5,1349654400,"Great product, thank you Amazon!","This brand is not available at my usual local market, so I am pleased to have found it on Amazon.<br /><br />The quality of this product has been superb and this brand has exceeded our expectations for freshness on every single delivery.  It has been well worth the price for the quality in a healthy snack that my family regularly enjoys."
509012,509013,B006ZOWALM,A1CJOSNRAVS9Z2,Jeanne Randolph,0,0,5,1351123200,Lizano Salsa,I have been trying to find Lizano Salsa in stores for many years. I discovered that I could buy it from an on-line company and was very excited to find that it was reasonably priced and just what I was looking for. It's a favorite in Costa Rica where it is found in every home and restaurant.
403020,403021,B000LKVHYC,A1X9O7AIPKK9AR,Virginia Stringer,0,0,5,1298160000,Just like the real thing.,This cake is heavenly. I couldn't believe it was gluten free. It is moist and tastes like a high profile bakery product. This is going to be my go to cake mix. [
97295,97296,B007H0XMR4,A3GQSZ2RVVXDCZ,Jon Kreisler,2,3,5,1340323200,"Relax Refreshed, Enjoy It Now, While You Still Can","This is the original recipe Dr. Pepper. It is made with 100% pure cane sugar; none of the high-fructose corn syrup the soft-drink industry has been shoving down our throats for years. This means even people with corn allergies can enjoy Dr.Pepper. Unfortunately, after October 2012, manufacturing of original recipe Dr. Pepper will be forced to cease. Apparently Snapple purchased Dr. Pepper and will no longer allow the production of the original recipe.<br />Original recipe Dr. Pepper tastes great. It has the same calorie count and caffeine content as the ""standard"" Dr. Pepper.<br />I wonder if a petition would sway Snapple's decision?<br />While it is still available, it is a very good price, but shipping is a bit outrageous. (However, considering 24 cans weighs about 20 pounds, I can understand.)<br />I suggest you buy original recipe Dr. Pepper while you still can and perhaps send off a note to Snapple requesting they permit Dr. Pepper original recipe to co-exist with ""standard"" Dr. Pepper."
557762,557763,B0043XG3NS,AC8RJ87HN9E2R,Mairbair57,1,1,5,1308009600,A Must Have for my pantry,"I live in the boonies in Texas and when the local Wal-Mart stopped carrying Wiley's I thought the world was coming to an end!  I LOVE LOVE LOVE this product and now that I can order it online, I am once again a happy camper.  This is the BEST product to season purple hulls peas and others just like my grandmas did in the boonies of Arkansas (only there's no bacon grease!).  YUM!"
464112,464113,B000MMO8W2,A12UR9SBTWH71E,"Emul Pedmon ""Emul""",2,5,4,1214784000,Pretty Good Olive Oil,"IMHO, taking everything into consideration, I.E. price, quality, and ok taste, I give this product a positive review. I am somewhat suspect of the stand alone, one star review, posted in this forum as of today's date. It seems to be way too 'over the top' negative. Perhaps the olive oil was old or spoiled or in some other way 'Tainted'. That would make that review valid. However, in my college statistics class the professor points out this kind of review would be disregarded. Throw out the best and the worst reviews and go with what remains.<br /><br />Regards, Emul"
379121,379122,B001TM70XS,A3P067FG6URLN7,Wind Sock @ 2PONDS,0,0,3,1340928000,Need magnifying glass to find liver.,"Finally, a canned cat food that the kitties are eating (at least for now, with a few vitamins & minerals. And this brand won't end up in the dog bowls! But I am hard pressed to find the chunks of liver - very skimpy - which is really O.K. because the cats leave what few itty bitty pieces that ARE in the can behind (3 Star for deceptive liver chunks/ 5 Star for chicken breast).  Looks almost as pictured, except for liver chunks.  I also bought the plain chicken from same company & will just go with that and rate a 5-STAR.  If your kitties LOVE cooked liver, you won't find enough in this recipe to satisfy their hunger - unless they eat all of the chicken too, which you probably wouldn't buy if cat didn't like chicken.  I am just so happy to transit the dry food & salty canned chicken addicted cat to a wet food to save on the kidneys. I do have one cat that loves raw liver & chicken, but I like to take a day off from adding vitamins and messing with raw meat (cutting, etc) so this is going to work out, it appears; hopefully for awhile - though one never knows with kitties.  Great today - terrible tomorrow!"
534449,534450,B0052M5V0A,A2SZ4BT34NO1NJ,Uza,0,13,5,1316131200,Nespresso coffee,Nesspresso's expresso capsules are the best. The different flavors has very distinctive aroma and taste so much better than the coffee house that I used to spend a large amount of money to buy them every morning. I highly recommended.
108014,108015,B007TJGY46,AW4DC0R2L6RI6,Floyd McGaha,0,0,5,1343433600,My favorite K-Cup,"Coffee just doesn't get dark enough, but Jet Fuel is close. Look forward to my daily mug on the road!"
280961,280962,B000FFLHSY,A2P80QL4JD89IE,"Frank Frank ""Frank""",2,2,3,1340841600,Comparison Video. Navitas Vs Himalayan,"<span class=""tiny""> Length:: 1:32 Mins<br /><br /></span>I did a taste test with The Himalania 8oz <a href=""http://www.amazon.com/gp/product/B0013KTNP4"">Himalania 8 oz. Dried Raw Goji Berries - The Most Famous Berry in the Himalayas - Himalayan Goji Berry</a> vs the 16 ounce Navitas.<br /><br />The Himalania are MUCH better. But they cost almost twice as much, so if I had to buy again, which one would I buy? I'm not sure. The Navitas brand was crunchier (like a stale raisin. Not sure if I even like them. The Himalania were VERY good and addictive (which might be bad since you might eat too many).<br /><br />Check out the video, you can see I can even crack the Navitas brand in half. Sorry for the bad sound!!<br /><br />I rated it a 3 of 5 since it is ""just ok"". If you are buying them for power and nutrition, then they are fine. If you want the taste , then they are not worth it.<br /><br />Frank"
280064,280065,B000CBFTC6,A26QISSPQ3Y4WU,Big E,1,1,5,1292544000,Love this Stuff,The warning label is sssooo true when you open the crate that is comes in. But don't run like a wimp when you try this sauce. Just 1 1/2 caps full of this sauce in a 3quart pot of chili will keep you nice and warms for a good while and man the flavor is so good. I will be getting this sauce again in the future.
307512,307513,B004IN4KVU,A25TU1DUZA0BWD,"Irene Oppenheim ""Literary  Chick""",1,1,5,1338768000,Recommended by our cats,"OUr two cats, Thunder & Biscuit insist this is the best dry food on the market. They recommened it highly."
534002,534003,B001EO77FW,A2EZW502SEA2N9,Linda Freitag,3,3,5,1236556800,Best Dog Food Ever!,"My dogs love this food.  I have fed my 11 year old German Shepard and my three year old American Pit Bull Terrier for almost three years. They have thrived so well on this food, my shepard no longer has stomach problems ... both their coats are beautiful and I am completely satisfied.  When I decided to switch foods, I did alot of research on what good, healthy, mostly organic food to switch them to. I chose Newman's Own, not because I could purchase it easily at a local store .. because I can not do so, I have to order it and have it delivered, but because of the ingredients, how it is made, and because most of the proceeds go to charities. I found the best price at Amazon, and will always order it this way.  I truly recommend this dog food to everyone."
231467,231468,B00134J4IG,AEC43GG7PCN35,Blacksheep,4,4,5,1257897600,A zours poem,"Some like it sweet and some like it sour,<br />but nothng is better than M&I zours!<br />Lemon's the worst, but still not that bad,<br />but blue rasberry's so good that it makes me go mad!<br />Green apple is peachy, and watermelon's the bomb,<br />so quickly buy Zours, and share them with your mom.<br /><br />I LOVE THESE!"
449857,449858,B001E5DR5K,A21BYJN4O600W3,"Marie Therese Weiss ""moviemom""",0,0,5,1289347200,great,"I used to buy this product under a different name at Target. Now after years, they quit carrying it. after much searching, I am lucky enough to find it here. Once you use this, it will be a staple. It's delicious on chicken, eggs, pasta, well anything. I'm addicted!!!!!!!!!!!!!"
331134,331135,B001THPU9E,A9WXMCR6Q2L4,Shauna,0,0,5,1343865600,Absolutely best drink ever!,"I'm pretty picky about what I like to drink and quit drinking soda regularly over a year ago. Because I need a drink with a little flavor during meals, I used to drink Crystal Light. Until I discovered this, that is. Not overly sweet like some Crystal Light drinks can be, this Green Tea is absolutely amazing! The fact that it's 0 calories, 0 sugar is just icing on the cake!"
246469,246470,B002D4DY8G,A1VTOFY4N47RGF,Marilyn T. Schoberg,0,0,5,1259280000,"Oh, yum, this is good!",This smells wonderful and that's just the beginning.  Very smooth flavor with the overtones of chocolate.  Add a little peppermint creamer..............delish!!!
132668,132669,B001651282,A3ARVR0AGBUQAB,"Brenda L. Longfellow ""babyred1975""",0,0,5,1326585600,very good snack !,"I purchased this for quick snacks and love it .this is my 3rd time buying these by case of 72 , Ive found I can eat these for a couple days and Im satisfied, the fruit and nuts go well together ,easy to carry along in purse ,or snack durning the night . I dont do reveiws ,but this is a product I can endorse for ease ,taste , and nutrition, love  it !  Planters Trail Mix ,Fruit & Nut ,2- Qunce Bags [ Pack of 72 }"
79615,79616,B000LRKN4U,A343YUFO844AW2,Laura Pearson,4,4,5,1248652800,best drink for your guts,"I grew up in Romania with those awesome mineral water drinks and this drink is a lot more than a soft drink, it's very healthy as it's made of dry elderberry + lemon) with natural Romanian mineral-rich water, I'd one of the best in the world. I am in USA now and my son after having drinks after drinks, he told me: Mom, when I drink this I can't believe I'm still on Earth, It's like the river of life"" LOL Just love, guys, I hope it will keep being imported!"
241962,241963,B001AHJ2FQ,A2SSV6KM3W1VFD,"A. Zerkle ""Loves Great Kitchen Gear""",1,4,2,1219708800,Well. Wasn't very flavorful on its own.,Well on its own.. it doesn't taste BAD.. but wasn't flavorful on its own. I can see where it would work with a spinach dip or something like that. Doesn't taste bad.. just not enough to make me want to keep eating them or buy more.
293761,293762,B001DR0LU8,A281NPSIMI1C2R,"Rebecca of Amazon ""The Rebecca Review""",11,12,5,1247961600,Natural Sweetener,"Since I'm always looking for natural alternatives to regular processed sugar, this item caught my attention when I read it was an ingredient in ""Xylichew"" chewing gums.<br /><br />Not only does Xylitol not promote tooth decay, it has natural ingredients to decrease plaque formation and adhesion. Xylitol is a naturally occurring 5-carbon sugar alcohol found in many fruits including plums, strawberries and raspberries. Our bodies actual produce about 11g of Xylitol a day.<br /><br />It is commercially manufactured from ""xylan hemicellulose"" sources such as Birch trees in Finland. This ""NOW"" Xylitol is actually made from a corn source.<br /><br />Xylitol actually has been proven to:<br />Reduce Tooth Decay<br />Prevent Cavities by inhibiting the growth of bacteria<br />Inhibits the growth of a related species, Streptococcus pneumoniae, which is a cause of ear infections<br />Reduce the secretion of Plaque Acids<br />Facilitate the Remineralization of Tooth Enamel<br /><br />Xylitol is believed to be safe, but doses higher than 30 g per day can cause stomach discomfort. To sweeten one cup of tea, you may need as much as 3 teaspoons which is 12 grams. This would equal 30 calories and 12 grams of Carbohydrates.<br /><br />Each teaspoon contains:<br /><br />Total Fat 0g<br />Sugars 0g<br />Sugar Alcohol 4g<br />Sodium 0mg<br />Protein 0g<br /><br />""Now"" Xylitol is 100% Pure Xylitol Powder. This product resembles sugar and has a third fewer calories than table sugar. It is a good alternative for diabetics and can be used as a sugar substitute in recipes. Calculate how much each serving will contain to make sure you can use this ingredient in your recipes.<br /><br />When compared to the SoooLite! NoCarbs Blend, this product does have Carbohydrates and more Calories. If you are looking for a No Carbs blend sweetner, NuNaturals SoooLite! Is perfect for tea. It only seems to contain .45 grams of Sugar Alcohol per packet. Both are great sweet alternatives to sugar.<br /><br />If you are tired of the aftertaste of other artificial sweeteners, give these products a try.<br /><br />~The Rebecca Review"
357975,357976,B00281RM46,A2NR0MKORG96HZ,Barbara Barrales,0,0,5,1284940800,Excellent gluten free pasta,This is the best tasting pasta around and by being gluten free - it makes it even better.
263572,263573,B001SAY8ZO,A3EZ43EYPP3M8J,P. Cook,1,1,4,1287532800,Good everyday Hot Sauce,"I'd definitely recommend this one.  It's hot and tangy, but not too hot.  It has a refreshing taste to it, probably due to the lime and carrots used in it.  I've had other Habenero sauces that are just over the top, but this one has heat, but not over powering.  It is a great ""everyday"" sauce, and perfect on Chicken Tacos!  It's also really, really good on Avocados, so if you make a lot of Tex/Mex food, this is the Hot Sauce for you."
